# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 912193742
#
# Overhead  Command          Shared Object               Symbol                                           
# ........  ...............  ..........................  .................................................
#
    13.02%  oshm_get_mr.exe  libc-2.28.so                [.] buffered_vfprintf
    12.25%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_progress_cyclic
     7.41%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_common_ucx_mca_pmix_fence
     7.34%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress
     6.31%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_progress
     6.02%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_part_persist_progress
     5.82%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_progress
     3.18%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_timer_linux_get_cycles_sys_timer
     1.14%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] test
     0.94%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfwprintf
     0.86%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_lock
     0.71%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_cleanup
     0.67%  async            [unknown]                   [k] 0xffffffffb7e685f2
     0.67%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_coll_libnbc_progress
     0.66%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.64%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfscanf
     0.59%  oshm_get_mr.exe  ld-2.28.so                  [.] do_lookup_x
     0.59%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_t_cleanup
     0.52%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_iface_mp_obj_init
     0.52%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_grow
     0.51%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76335b1
     0.48%  prterun          libc-2.28.so                [.] __strlen_avx2
     0.47%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.47%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_fixup
     0.43%  async            [unknown]                   [k] 0xffffffffb7905c09
     0.40%  oshm_get_mr.exe  ld-2.28.so                  [.] strcmp
     0.40%  oshm_get_mr.exe  libc-2.28.so                [.] vfprintf
     0.36%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] progress
     0.36%  async            [unknown]                   [k] 0xffffffffb77260b0
     0.36%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress@plt
     0.36%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] mca_spml_ucx_get
     0.33%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_unlock_usercnt
     0.33%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_request_check_status
     0.32%  async            [unknown]                   [k] 0xffffffffb76e93f4
     0.31%  prterun          libc-2.28.so                [.] vfprintf
     0.30%  prterun          libevent_core-2.1.so.6.0.2  [.] event_assign
     0.30%  async            [unknown]                   [k] 0xffffffffb76db85e
     0.30%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55127
     0.29%  prterun          libc-2.28.so                [.] _IO_fflush
     0.29%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] spml_ucx_default_progress
     0.29%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] hcoll_context_free
     0.29%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000010
     0.28%  async            libucs.so.0.0.0             [.] ucs_async_handler_dispatch
     0.28%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] oshmem_mkey_recv_cb
     0.28%  prterun          [unknown]                   [k] 0xffffffffb784e258
     0.26%  oshm_get_mr.exe  oshm_get_mr.exe             [.] deregister_tm_clones
     0.26%  prterun          libc-2.28.so                [.] _IO_default_xsputn
     0.26%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e68800
     0.26%  async            libc-2.28.so                [.] __sched_yield
     0.26%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb800001c
     0.25%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbf5
     0.25%  async            [unknown]                   [k] 0xffffffffb79075b0
     0.24%  oshm_get_mr.exe  libc-2.28.so                [.] _int_malloc
     0.24%  async            [unknown]                   [k] 0xffffffffc03b43e0
     0.23%  prterun          libc-2.28.so                [.] unlink_chunk.isra.1
     0.23%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_request_wait_completion
     0.23%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb800003b
     0.22%  async            libucs.so.0.0.0             [.] ucs_async_thread_func
     0.21%  oshm_get_mr.exe  libc-2.28.so                [.] unlink_chunk.isra.1
     0.21%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a33ff2
     0.21%  oshm_get_mr.exe  libc-2.28.so                [.] getenv
     0.20%  prterun          libc-2.28.so                [.] _IO_padn
     0.19%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000013
