# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 988  of event 'cycles:u'
# Event count (approx.): 955455892
#
# Overhead  Command          Shared Object               Symbol                                               
# ........  ...............  ..........................  .....................................................
#
    12.83%  oshm_get_mr.exe  libc-2.28.so                [.] buffered_vfprintf
     8.85%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_progress_cyclic
     8.28%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_part_persist_progress
     8.09%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_spin_lock
     7.88%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_common_ucx_mca_pmix_fence
     4.23%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress
     4.19%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_progress
     3.97%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_progress
     3.97%  async            libpthread-2.28.so          [.] pthread_spin_lock
     1.84%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_timer_linux_get_cycles_sys_timer
     1.04%  prterun          libc-2.28.so                [.] vfprintf
     0.90%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_cleanup
     0.74%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_t_cleanup
     0.73%  async            [unknown]                   [k] 0xffffffffb7e685f2
     0.71%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.65%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_coll_libnbc_progress
     0.54%  async            [unknown]                   [k] 0xffffffffb7905c18
     0.49%  oshm_get_mr.exe  ld-2.28.so                  [.] do_lookup_x
     0.45%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9690
     0.44%  prterun          libc-2.28.so                [.] _int_free
     0.44%  oshm_get_mr.exe  libc-2.28.so                [.] __GI___printf_fp_l
     0.43%  async            [unknown]                   [k] 0xffffffffb7905c11
     0.41%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.39%  async            [unknown]                   [k] 0xffffffffb7905c09
     0.39%  async            [unknown]                   [k] 0xffffffffb76e568c
     0.38%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_str_init_static_internal
     0.37%  oshm_get_mr.exe  libc-2.28.so                [.] malloc
     0.37%  oshm_get_mr.exe  libc-2.28.so                [.] getenv
     0.36%  oshm_get_mr.exe  libc-2.28.so                [.] __strspn_sse2
     0.35%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_request_default_wait
     0.35%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress_events.isra.0
     0.34%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ib_mlx5_devx_create_qp
     0.33%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb800001c
