# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 1103342927
#
# Overhead  Command          Shared Object               Symbol                                    
# ........  ...............  ..........................  ..........................................
#
    11.02%  oshm_get_mr.exe  libc-2.28.so                [.] buffered_vfprintf
     8.99%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_part_persist_progress
     8.94%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_spin_lock
     7.55%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_progress_cyclic
     6.21%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_common_ucx_mca_pmix_fence
     5.48%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_progress
     4.61%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress
     4.45%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_progress
     3.42%  async            libpthread-2.28.so          [.] pthread_spin_lock
     2.15%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_timer_linux_get_cycles_sys_timer
     2.03%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] test
     1.37%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfwprintf
     1.22%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_coll_libnbc_progress
     0.99%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_comm_request_progress
     0.99%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.90%  oshm_get_mr.exe  ld-2.28.so                  [.] do_lookup_x
     0.74%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_cleanup
     0.70%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76335b1
     0.70%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7626c6b
     0.59%  oshm_get_mr.exe  hmca_bcol_ucx_p2p.so        [.] hmca_bcol_ucx_p2p_progress
     0.58%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress_events.isra.0
     0.57%  prterun          libc-2.28.so                [.] __strchrnul_avx2
     0.57%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7655c7b
     0.56%  async            [unknown]                   [k] 0xffffffffb7905b73
     0.56%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_unlock_usercnt
     0.55%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_t_cleanup
     0.45%  prterun          libc-2.28.so                [.] _IO_no_init
     0.37%  prterun          libc-2.28.so                [.] vfprintf
     0.37%  async            libucs.so.0.0.0             [.] ucs_async_dispatch_handlers
     0.36%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_lock
     0.35%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_getline_info
     0.34%  async            [unknown]                   [k] 0xffffffffb78d8b5e
     0.34%  prterun          libc-2.28.so                [.] __strlen_avx2
     0.33%  oshm_get_mr.exe  libc-2.28.so                [.] vfprintf
     0.33%  oshm_get_mr.exe  libc-2.28.so                [.] getenv
     0.31%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e68800
     0.31%  async            [unknown]                   [k] 0xffffffffb8000010
     0.31%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8001130
     0.30%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8001c20
     0.30%  async            [unknown]                   [k] 0xffffffffb7905b3c
     0.30%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] progress
     0.29%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_self@GLIBC_2.2.5
     0.28%  async            [unknown]                   [k] 0xffffffffb76e96f8
     0.28%  async            [unknown]                   [k] 0xffffffffb7905627
     0.27%  oshm_get_mr.exe  libucs.so.0.0.0             [.] shmdt@plt
     0.27%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_no_init
     0.25%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbf5
     0.24%  async            [unknown]                   [k] 0xffffffffb7905c09
     0.24%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_relocate_object
     0.22%  oshm_get_mr.exe  libc-2.28.so                [.] __libc_calloc
     0.22%  prterun          libc-2.28.so                [.] _int_free
     0.22%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb780da85
     0.21%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_mca_base_component_close
     0.21%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfscanf
     0.20%  oshm_get_mr.exe  libocoms.so.0.0.0           [.] ocoms_hash_table_get_value_ptr
     0.20%  oshm_get_mr.exe  libc-2.28.so                [.] malloc_consolidate
     0.19%  oshm_get_mr.exe  libc-2.28.so                [.] _int_free
     0.19%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_perf_node_deref
     0.19%  prterun          ld-2.28.so                  [.] check_match
     0.18%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e628a5
     0.17%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76d88c6
     0.16%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_grow
     0.16%  prterun          libc-2.28.so                [.] _IO_setb
     0.16%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_create
     0.16%  async            [unknown]                   [k] 0xffffffffb7905c23
     0.16%  prterun          ld-2.28.so                  [.] strcmp
     0.15%  async            libucs.so.0.0.0             [.] ucs_get_cpu_clocks_per_sec
     0.15%  prterun          libc-2.28.so                [.] _IO_strn_overflow
     0.15%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.15%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb761d52b
     0.14%  srun             [unknown]                   [k] 0xffffffffb7a1eb11
     0.14%  srun             libslurmfull.so             [.] 0x000000000004fd94
     0.14%  oshm_get_mr.exe  libc-2.28.so                [.] __GI_____strtoull_l_internal
     0.14%  srun             libslurmfull.so             [.] slurm_run_in_daemon
     0.13%  srun             libslurmfull.so             [.] unpack_msg
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9697
     0.13%  srun             libc-2.28.so                [.] __strchr_avx2
     0.12%  async            [unknown]                   [k] 0xffffffffb76e9417
     0.12%  prterun          libc-2.28.so                [.] _IO_padn
     0.12%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x000000000001b87c
     0.12%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x000000000001b930
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76f16d9
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df2f4
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9690
     0.12%  async            [unknown]                   [k] 0xffffffffc0476070
     0.12%  async            [unknown]                   [k] 0xffffffffb7905683
     0.11%  async            libc-2.28.so                [.] _IO_default_xsputn
     0.11%  async            [unknown]                   [k] 0xffffffffb78d8b3e
     0.11%  srun             libslurmfull.so             [.] arg_reset_account
     0.11%  srun             libc-2.28.so                [.] _int_malloc
     0.11%  prterun          libc-2.28.so                [.] malloc
     0.11%  prterun          libpmix.so.2.13.3           [.] pmix_hash_table_remove_all
     0.10%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb800001c
     0.10%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_name_match_p
     0.10%  prterun          libc-2.28.so                [.] cfree@GLIBC_2.2.5
     0.10%  async            [unknown]                   [k] 0xffffffffb76e5683
     0.10%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_sputbackc
     0.10%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbfc
     0.09%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vsscanf
     0.09%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_fixup
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55127
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e6286f
     0.09%  async            [unknown]                   [k] 0xffffffffb8000155
     0.09%  async            [unknown]                   [k] 0xffffffffb790541f
     0.09%  oshm_get_mr.exe  libc-2.28.so                [.] 0x000000000000156a
     0.09%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ib_mlx5_fill_cq_common
     0.09%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc54
     0.09%  async            [unknown]                   [k] 0xffffffffb76f17ed
     0.09%  async            [unknown]                   [k] 0xffffffffb76f147d
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e57927
     0.09%  oshm_get_mr.exe  libc-2.28.so                [.] __strstr_sse2
     0.09%  prterun          [unknown]                   [k] 0xffffffffb78d8dd7
     0.09%  prterun          [unknown]                   [k] 0xffffffffb78c6280
     0.08%  prterun          [unknown]                   [k] 0xffffffffb794529c
     0.08%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc0f
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df2b7
     0.08%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_sockaddr_inet_addr_sizeof
     0.08%  async            [unknown]                   [k] 0xffffffffb76df2f9
     0.08%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_perf_aggregate
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7854ce3
     0.08%  prterun          libpmix.so.2.13.3           [.] pmix_psensor_base_stop
     0.08%  srun             libc-2.28.so                [.] cfree@GLIBC_2.2.5
     0.08%  async            [unknown]                   [k] 0xffffffffb76f16d9
     0.08%  srun             libc-2.28.so                [.] re_node_set_contains.isra.2
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] _int_malloc
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_default_xsputn
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] __mpn_divrem
     0.08%  async            [unknown]                   [k] 0xffffffffb800001c
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c60d8
     0.08%  prterun          libc-2.28.so                [.] _IO_default_xsputn
     0.08%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_log_indent
     0.08%  async            [unknown]                   [k] 0xffffffffb78d8e11
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76dd591
     0.07%  async            [unknown]                   [k] 0xffffffffb7a1eb08
     0.07%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_async_remove_handler
     0.07%  async            [unknown]                   [k] 0xffffffffb7736c94
     0.07%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vasprintf
     0.07%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_mca_base_var_group_add_var
