# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 997  of event 'cycles:u'
# Event count (approx.): 974460696
#
# Overhead  Command          Shared Object            Symbol                                    
# ........  ...............  .......................  ..........................................
#
    12.50%  oshm_get_mr.exe  libc-2.28.so             [.] buffered_vfprintf
     9.92%  oshm_get_mr.exe  libmpi.so.0.0.0          [.] mca_part_persist_progress
     9.34%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0  [.] uct_rc_mlx5_iface_progress_cyclic
     7.37%  oshm_get_mr.exe  libopen-pal.so.0.0.0     [.] opal_common_ucx_mca_pmix_fence
     5.52%  oshm_get_mr.exe  libopen-pal.so.0.0.0     [.] opal_progress
     4.81%  oshm_get_mr.exe  libucp.so.0.0.0          [.] ucp_worker_progress
     4.05%  oshm_get_mr.exe  libpthread-2.28.so       [.] pthread_spin_lock
     3.88%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0  [.] uct_ud_mlx5_iface_progress
     3.57%  oshm_get_mr.exe  libopen-pal.so.0.0.0     [.] opal_timer_linux_get_cycles_sys_timer
     2.22%  oshm_get_mr.exe  libmpi.so.0.0.0          [.] test
     1.03%  oshm_get_mr.exe  ld-2.28.so               [.] do_lookup_x
     0.88%  oshm_get_mr.exe  libuct_ib.so.0.0.0       [.] uct_rc_iface_t_cleanup
     0.84%  oshm_get_mr.exe  libc-2.28.so             [.] printf_positional
     0.80%  oshm_get_mr.exe  libc-2.28.so             [.] _IO_vfwprintf
     0.69%  prterun          libc-2.28.so             [.] vfprintf
     0.68%  oshm_get_mr.exe  libmpi.so.0.0.0          [.] progress
     0.68%  oshm_get_mr.exe  libhcoll.so.1.0.8        [.] hcoll_ml_progress
     0.54%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7626c6b
     0.53%  oshm_get_mr.exe  libopen-pal.so.0.0.0     [.] opal_progress_events.isra.0
     0.52%  oshm_get_mr.exe  libucs.so.0.0.0          [.] ucs_mpool_grow
     0.52%  oshm_get_mr.exe  libucs.so.0.0.0          [.] ucs_mpool_cleanup
     0.49%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e55127
     0.47%  oshm_get_mr.exe  libc-2.28.so             [.] vfprintf
     0.46%  prterun          libc-2.28.so             [.] _IO_no_init
     0.46%  oshm_get_mr.exe  libc-2.28.so             [.] _IO_vfscanf
     0.44%  oshm_get_mr.exe  libc-2.28.so             [.] malloc_consolidate
     0.42%  oshm_get_mr.exe  libc-2.28.so             [.] _int_free
     0.38%  oshm_get_mr.exe  libc-2.28.so             [.] getenv
     0.37%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb76f1450
     0.34%  async            [unknown]                [k] 0xffffffffb76f1706
     0.34%  async            [unknown]                [k] 0xffffffffb79071b7
     0.34%  oshm_get_mr.exe  libmpi.so.0.0.0          [.] mca_pml_ucx_progress
     0.34%  oshm_get_mr.exe  libmpi.so.0.0.0          [.] ompi_coll_libnbc_progress
     0.34%  oshm_get_mr.exe  libopen-pal.so.0.0.0     [.] strlen@plt
     0.33%  async            [unknown]                [k] 0xffffffffb78d8b5e
