# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 984406205
#
# Overhead  Command          Shared Object               Symbol                                   
# ........  ...............  ..........................  .........................................
#
    12.03%  oshm_get_mr.exe  libc-2.28.so                [.] buffered_vfprintf
     8.85%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_progress_cyclic
     7.73%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_common_ucx_mca_pmix_fence
     6.74%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_part_persist_progress
     6.28%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_progress
     5.49%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_progress
     5.15%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress
     4.94%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_spin_lock
     4.56%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_timer_linux_get_cycles_sys_timer
     1.60%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] test
     1.04%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.92%  prterun          libc-2.28.so                [.] vfprintf
     0.91%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] hcoll_ml_progress
     0.91%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_t_cleanup
     0.89%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfscanf
     0.73%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfwprintf
     0.61%  async            [unknown]                   [k] 0xffffffffb7e685f2
     0.61%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] spml_ucx_default_progress
     0.57%  oshm_get_mr.exe  ld-2.28.so                  [.] do_lookup_x
     0.51%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_cleanup
     0.48%  prterun          libc-2.28.so                [.] _IO_default_xsputn
     0.43%  async            [unknown]                   [k] 0xffffffffb76e96f4
     0.41%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc0f
     0.38%  oshm_get_mr.exe  libc-2.28.so                [.] vfprintf
     0.36%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76335b1
     0.36%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55127
     0.35%  srun             libc-2.28.so                [.] vfprintf
     0.34%  async            libc-2.28.so                [.] 0x000000000000a8e6
     0.34%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] opal_progress@plt
     0.34%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_amo32_cswap_probe
     0.34%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_pml_ucx_progress
     0.34%  async            [unknown]                   [k] 0xffffffffb76dd598
     0.34%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] mca_spml_ucx_get
     0.34%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proxy_ep_t_init
     0.33%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] progress
     0.33%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] oshmem_mkey_recv_cb
     0.33%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_request_default_wait
     0.32%  async            [unknown]                   [k] 0xffffffffb7e632f5
     0.31%  async            [unknown]                   [k] 0xffffffffb76e568c
     0.30%  prterun          ld-2.28.so                  [.] do_lookup_x
     0.29%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc54
     0.28%  prterun          [unknown]                   [k] 0xffffffffb8001130
     0.27%  prterun          libc-2.28.so                [.] malloc
     0.27%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_flush_check
     0.26%  oshm_get_mr.exe  libc-2.28.so                [.] __libc_calloc
     0.26%  async            [unknown]                   [k] 0xffffffffb800009f
     0.25%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000013
     0.25%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df320
     0.25%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7626c6b
     0.22%  async            [unknown]                   [k] 0xffffffffb7e62ac6
     0.22%  prterun          libc-2.28.so                [.] unlink_chunk.isra.1
     0.22%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_fixup
     0.21%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_rte_compare_name_fields
     0.19%  srun             ld-2.28.so                  [.] _dl_fixup
     0.19%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vsnprintf
     0.19%  async            [unknown]                   [k] 0xffffffffb76f1450
     0.19%  srun             libc-2.28.so                [.] set_regs
     0.19%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_attr_create_keyval_impl
     0.19%  async            [unknown]                   [k] 0xffffffffb7e628d3
     0.19%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df2f4
     0.19%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb800001c
     0.19%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_config_apply_config_vars
     0.18%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9690
