# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 999  of event 'cycles:u'
# Event count (approx.): 927911595
#
# Overhead  Command          Shared Object               Symbol                                   
# ........  ...............  ..........................  .........................................
#
    13.23%  oshm_get_mr.exe  libc-2.28.so                [.] buffered_vfprintf
     9.66%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_progress_cyclic
     8.52%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress
     7.74%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_progress
     7.17%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_common_ucx_mca_pmix_fence
     6.74%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_part_persist_progress
     6.40%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_progress
     1.39%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_timer_linux_get_cycles_sys_timer
     1.37%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress_events.isra.0
     1.35%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     1.03%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_pml_ucx_progress
     1.00%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_t_cleanup
     0.94%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfwprintf
     0.76%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfscanf
     0.51%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] hcoll_ml_progress
     0.50%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_coll_libnbc_progress
     0.48%  prterun          libc-2.28.so                [.] __strlen_avx2
     0.48%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] progress
     0.45%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb800001c
     0.44%  prterun          [unknown]                   [k] 0xffffffffb8001130
     0.44%  prterun          libc-2.28.so                [.] __strchrnul_avx2
     0.42%  async            [unknown]                   [k] 0xffffffffc04760e8
     0.41%  async            [unknown]                   [k] 0xffffffffb7e68491
     0.36%  oshm_get_mr.exe  ld-2.28.so                  [.] check_match
     0.36%  prterun          libc-2.28.so                [.] _int_free
     0.36%  async            [unknown]                   [k] 0xffffffffb76f1457
     0.36%  async            [unknown]                   [k] 0xffffffffc03b43ec
     0.36%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] wait_completion
     0.36%  prterun          libc-2.28.so                [.] _IO_default_xsputn
     0.36%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_stats_node_alloc
