# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 977  of event 'cycles:u'
# Event count (approx.): 933124532
#
# Overhead  Command          Shared Object               Symbol                                           
# ........  ...............  ..........................  .................................................
#
    12.62%  oshm_get_mr.exe  libc-2.28.so                [.] buffered_vfprintf
    10.34%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_part_persist_progress
     9.17%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_common_ucx_mca_pmix_fence
     7.79%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_progress_cyclic
     5.94%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_progress
     5.85%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress
     5.54%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_progress
     3.90%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_timer_linux_get_cycles_sys_timer
     1.04%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfwprintf
     0.81%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_spin_lock
     0.78%  async            [unknown]                   [k] 0xffffffffb7e685f2
     0.74%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_unlock_usercnt
     0.73%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_coll_libnbc_progress
     0.73%  oshm_get_mr.exe  ld-2.28.so                  [.] do_lookup_x
     0.70%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] test
     0.68%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_t_cleanup
     0.65%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] hcoll_ml_progress
     0.51%  async            libucs.so.0.0.0             [.] ucs_async_thread_func
     0.49%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfscanf
     0.49%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] wait_completion
     0.48%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.46%  prterun          libc-2.28.so                [.] vfprintf
     0.44%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc0f
     0.44%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e68800
     0.43%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_cleanup
     0.43%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.43%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55127
     0.42%  oshm_get_mr.exe  libc-2.28.so                [.] getenv
     0.40%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] oshmem_mkey_recv_cb
     0.39%  async            [unknown]                   [k] 0xffffffffb7905c09
     0.38%  prterun          ld-2.28.so                  [.] do_lookup_x
     0.37%  async            [unknown]                   [k] 0xffffffffb7905ae4
     0.36%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_request_default_wait
     0.36%  async            [unknown]                   [k] 0xffffffffb7e6569e
     0.35%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_pml_ucx_progress
     0.35%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_request_check_status
     0.35%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8001c20
     0.34%  oshm_get_mr.exe  oshm_get_mr.exe             [.] message_rate
     0.33%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9690
     0.33%  async            [unknown]                   [k] 0xffffffffb7a1eb08
     0.31%  prterun          libc-2.28.so                [.] _IO_no_init
     0.31%  prterun          libc-2.28.so                [.] _IO_strn_overflow
     0.30%  oshm_get_mr.exe  ld-2.28.so                  [.] strcmp
     0.29%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc54
     0.29%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76335b1
     0.29%  prterun          libc-2.28.so                [.] _IO_default_xsputn
     0.27%  prterun          libc-2.28.so                [.] __strlen_avx2
     0.27%  prterun          [unknown]                   [k] 0xffffffffc170ac89
     0.27%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df320
