# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 947503536
#
# Overhead  Command          Shared Object               Symbol                                        
# ........  ...............  ..........................  ..............................................
#
    12.92%  oshm_get_mr.exe  libc-2.28.so                [.] buffered_vfprintf
    11.84%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_progress_cyclic
     8.36%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_part_persist_progress
     7.06%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_progress
     6.45%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress
     6.05%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_common_ucx_mca_pmix_fence
     5.72%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_progress
     1.96%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_timer_linux_get_cycles_sys_timer
     1.85%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_spin_lock
     1.52%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] test
     1.36%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_comm_request_progress
     1.02%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_t_cleanup
     0.99%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.82%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress@plt
     0.73%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfscanf
     0.72%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfwprintf
     0.70%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] progress
     0.61%  async            [unknown]                   [k] 0xffffffffb7e685f2
     0.56%  prterun          libc-2.28.so                [.] cfree@GLIBC_2.2.5
     0.50%  oshm_get_mr.exe  ld-2.28.so                  [.] do_lookup_x
     0.49%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_fixup
     0.47%  oshm_get_mr.exe  libc-2.28.so                [.] cfree@GLIBC_2.2.5
     0.44%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76335b1
     0.42%  oshm_get_mr.exe  libc-2.28.so                [.] _int_free
     0.35%  oshm_get_mr.exe  libc-2.28.so                [.] getenv
     0.35%  async            [unknown]                   [k] 0xffffffffc03b43ec
     0.35%  async            [unknown]                   [k] 0xffffffffc0476070
     0.35%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_coll_libnbc_progress
     0.35%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_select_elem_init_thresh
     0.35%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_fgets
     0.33%  async            [unknown]                   [k] 0xffffffffc04760e8
     0.33%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9690
     0.33%  prterun          [unknown]                   [k] 0xffffffffb8001130
     0.32%  oshm_get_mr.exe  libc-2.28.so                [.] malloc_consolidate
     0.32%  prterun          libpmix.so.2.13.3           [.] pmix_pointer_array_set_item
     0.31%  async            libucs.so.0.0.0             [.] ucs_async_handler_dispatch
     0.31%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_request_default_wait
     0.31%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df320
     0.31%  prterun          libc-2.28.so                [.] vfprintf
     0.31%  oshm_get_mr.exe  libc-2.28.so                [.] _int_malloc
     0.30%  async            [unknown]                   [k] 0xffffffffb7905c11
     0.30%  prterun          libc-2.28.so                [.] _IO_setb
     0.30%  srun             libslurmfull.so             [.] _find_name_in_env
     0.30%  async            [unknown]                   [k] 0xffffffffb8000010
     0.28%  prterun          libhwloc.so.5.7.6           [.] hwloc_bitmap_snprintf
     0.27%  prterun          libc-2.28.so                [.] _int_free
     0.27%  prterun          libc-2.28.so                [.] _IO_old_init
     0.26%  oshm_get_mr.exe  ld-2.28.so                  [.] strcmp
     0.26%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000010
     0.25%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_runtime_resolve_xsavec
     0.25%  prterun          libc-2.28.so                [.] malloc_consolidate
     0.24%  async            [unknown]                   [k] 0xffffffffb76e5687
     0.24%  async            libc-2.28.so                [.] __sched_yield
     0.23%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ib_mlx5_fill_cq_common
     0.23%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_request_wait_completion
     0.23%  oshm_get_mr.exe  ld-2.28.so                  [.] check_match
     0.22%  oshm_get_mr.exe  libc-2.28.so                [.] malloc
     0.22%  oshm_get_mr.exe  libc-2.28.so                [.] vfprintf
     0.22%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc0f
     0.21%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbf5
     0.21%  prterun          libc-2.28.so                [.] __strlen_avx2
     0.21%  prterun          libc-2.28.so                [.] _IO_no_init
     0.21%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55127
     0.20%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_lock
     0.20%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb800001c
     0.20%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9705
     0.19%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7626c6b
     0.19%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_getline_info
     0.19%  oshm_get_mr.exe  libocoms.so.0.0.0           [.] ocoms_hash_table_get_value_ptr
     0.19%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbce
