RevCPU[cpu0:RevCPU:0]: Building Rev with 1 cores and 1 hart(s) on each core 
RevCPU[cpu0:RevCPU:0]: Initialization of RevCPUs complete.
RevCPU[cpu1:RevCPU:0]: Building Rev with 1 cores and 1 hart(s) on each core 
RevCPU[cpu1:RevCPU:0]: Initialization of RevCPUs complete.
# OSU OpenSHMEM Get Test
# Size           Latency (us)
---------1                   1.218
---------2                   1.217
---------4                   1.223
---------8                   1.228
--------16                   2.466
--------32                   4.861
--------64                   9.653
-------128                  19.240
-------256                  38.411
-------512                  76.755
------1024                 153.442
------2048                 306.814
------4096                 613.559
------8192                1227.051
-----16384                2454.581
-----32768                4920.784
-----65536                9841.462
Simulation is complete, simulated time: 299.378 ms
