# OSU OpenSHMEM Put Message Rate (MB/s) Test
# Size                    MB/s
1                        0.020
2                        0.042
4                        0.083
8                        0.170
16                       0.342
32                       0.685
64                       1.375
128                      2.712
256                      5.431
512                     10.886
1024                    21.602
2048                    28.480
4096                    66.732
8192                   119.971
16384                  211.206
32768                  330.758
65536                  438.350
131072                 609.518
262144                1119.169
524288                1381.139
1048576               1641.982
2097152               1900.382
4194304               2032.293
