PTMALLOC: USAGE ERROR DETECTED: m=0x7f3890020b00 ptr=0xff0000f0
PTMALLOC: USAGE ERROR DETECTED: m=0x7f3890020b00 ptr=0xff4000f0
# OSU OpenSHMEM Get_nb Test
# Size           Latency (us)
1                       89.730
2                       84.075
4                       84.505
8                       84.690
16                      83.600
32                      85.055
64                      83.575
128                     85.470
256                     85.940
512                     83.595
1024                    87.460
2048                    89.360
4096                    89.875
8192                   100.700
16384                  104.080
32768                  123.790
65536                  153.300
131072                 255.870
262144                 327.290
524288                 542.920
1048576                992.100
2097152               1858.230
PTMALLOC: USAGE ERROR DETECTED: m=0x7ff0bbe36b00 ptr=0xff0000f0
PTMALLOC: USAGE ERROR DETECTED: m=0x7ff0bbe36b00 ptr=0xff4000f0
