PTMALLOC: USAGE ERROR DETECTED: m=0x7f6e25896b00 ptr=0xff0000f0
PTMALLOC: USAGE ERROR DETECTED: m=0x7f6e25896b00 ptr=0xff4000f0
# OSU OpenSHMEM Put_nb Test
# Size           Latency (us)
1                      147.130
2                      131.390
4                      130.760
8                      132.690
16                     134.215
32                     121.375
64                     112.140
128                    111.090
256                    121.230
512                    106.520
1024                   108.275
2048                   121.485
4096                   101.435
8192                   119.495
16384                  134.130
32768                  134.700
65536                  225.270
131072                 281.660
262144                 359.880
524288                 484.700
1048576                841.020
2097152               1490.740
PTMALLOC: USAGE ERROR DETECTED: m=0x7fc1b7d0ab00 ptr=0xff0000f0
PTMALLOC: USAGE ERROR DETECTED: m=0x7fc1b7d0ab00 ptr=0xff4000f0
