# OSU OpenSHMEM Get_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.120
2                        0.456
4                        1.293
8                        2.668
16                       4.832
32                       8.805
64                      14.076
128                     31.575
256                     48.402
512                     95.442
1024                   163.141
2048                   291.598
4096                   589.712
8192                   446.939
16384                  640.369
32768                  876.332
65536                  902.136
