# OSU OpenSHMEM Get Message Rate (MB/s) Test
# Size                    MB/s
1                        0.015
2                        0.032
4                        0.065
8                        0.130
16                       0.261
32                       0.522
64                       1.039
128                      2.070
256                      4.150
512                      8.269
1024                    16.748
2048                    22.098
4096                    56.362
8192                    79.283
16384                  159.798
32768                  237.570
65536                  370.788
