# OSU OpenSHMEM Put_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.124
2                        0.500
4                        1.012
8                        2.073
16                       4.153
32                       7.294
64                      13.740
128                     22.825
256                     35.829
512                     71.220
1024                   144.334
2048                   316.347
4096                   544.046
8192                   575.295
16384                  737.028
32768                 1062.203
65536                 1178.800
