# OSU OpenSHMEM Get Message Rate (MB/s) Test
# Size                    MB/s
1                        0.223
2                        1.360
4                        2.793
8                        5.651
16                      11.025
32                      21.829
64                      39.582
128                     82.592
256                    147.250
512                    261.393
1024                   441.085
2048                   651.911
4096                   902.970
8192                  1860.119
16384                 2291.056
32768                 3228.306
65536                 4234.417
131072                5530.973
262144                6446.622
524288                7387.707
1048576               8103.728
2097152               8547.739
4194304               8874.296
