# OSU OpenSHMEM Put Message Rate (MB/s) Test
# Size                    MB/s
1                       20.732
2                       41.464
4                       79.473
8                      158.946
16                     305.176
32                     610.352
64                    1173.753
128                   2260.561
256                   4359.654
512                   7180.607
1024                  5139.803
2048                  4763.720
4096                  5882.907
8192                  5744.485
16384                 6620.763
32768                 8538.251
65536                10382.060
131072               11261.261
262144               11996.161
524288               12619.889
1048576              13051.423
2097152              12976.901
4194304              12979.428
