# OSU OpenSHMEM Get_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.499
2                       13.432
4                       27.643
8                       53.728
16                     110.571
32                     227.743
64                     363.305
128                    782.502
256                   1119.911
512                   1545.194
1024                  2113.772
2048                  2682.864
4096                  3260.643
8192                  4706.325
16384                 5661.232
32768                 7512.019
65536                10665.529
131072               12065.637
262144               12303.150
524288               12761.613
1048576              12997.141
2097152              13070.187
4194304              13222.266
