# OSU OpenSHMEM Put_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        2.020
2                       41.464
4                       82.928
8                      158.946
16                     317.891
32                     610.352
64                    1130.281
128                   2260.561
256                   3937.752
512                   7180.607
1024                  5425.347
2048                  5059.909
4096                  5882.907
8192                  5830.224
16384                 6510.417
32768                 8632.597
65536                10179.153
131072               11160.714
262144               11870.845
524288               12588.117
1048576              13092.433
2097152              13262.599
4194304              13242.402
