RevCPU[cpu0:RevCPU:0]: Building Rev with 1 cores and 1 hart(s) on each core 
RevCPU[cpu0:RevCPU:0]: Initialization of RevCPUs complete.
RevCPU[cpu1:RevCPU:0]: Building Rev with 1 cores and 1 hart(s) on each core 
RevCPU[cpu1:RevCPU:0]: Initialization of RevCPUs complete.
# OSU OpenSHMEM Get Test
# Size           Latency (us)
---------1                   2.019
---------2                   2.016
---------4                   2.022
---------8                   2.028
--------16                   4.065
--------32                   8.061
--------64                  16.053
-------128                  32.038
-------256                  64.008
-------512                 127.946
------1024                 255.823
------2048                 511.577
------4096                1023.086
------8192                2046.106
-----16384                4092.723
-----32768                8197.583
-----65536               16395.063
Simulation is complete, simulated time: 496.002 ms
