RevCPU[cpu0:RevCPU:0]: Building Rev with 1 cores and 1 hart(s) on each core 
RevCPU[cpu0:RevCPU:0]: Initialization of RevCPUs complete.
RevCPU[cpu1:RevCPU:0]: Building Rev with 1 cores and 1 hart(s) on each core 
RevCPU[cpu1:RevCPU:0]: Initialization of RevCPUs complete.
# OSU OpenSHMEM Get Message Rate (MB/s) Test
# Size                    MB/s
---------1                   0.683
---------2                   1.286
---------4                   2.654
---------8                   5.026
--------16                   5.477
--------32                   5.917
--------64                   5.929
-------128                   6.079
-------256                   6.101
-------512                   6.111
------1024                   6.116
------2048                   6.119
------4096                   6.120
------8192                   6.121
-----16384                   6.121
-----32768                   6.122
-----65536                   6.122
Simulation is complete, simulated time: 171.299 ms
